Institution,Initial Accreditation
Brown University,2021
Carleton University,2010
Case Western Reserve University,2025
Columbia University,2009
Creighton University,2018
Dalhousie University,2015
Dartmouth College,2016
Duke University,2008
East Carolina University,2006
Florida Atlantic University,2014
Georgia Institute of Technology,2010
Hofstra University,2015
Howard University,2024
Indiana University Purdue University,2012
Johns Hopkins University,2023
LSU MBPCC Medical Physics and Health Physics Graduate Program,2006
McGill University,1993
McMaster University,2023
National University of Ireland Galway,2015
Oregon Health and Science University,2011
San Diego State University,2010
Stanford University,2025
SUNY Stony Brook University,2010
Toronto Metropolitan University,2013
University College of Dublin,2020
Universite de Montreal,2017
Universite Laval,2011
University at Buffalo SUNY ,2009
University of Alberta,2002
UC Berkeley UCSF,2023
University of British Columbia,2004
University of British Columbia Okanagan,2016
University of Calgary,2005
University of California Los Angeles ,1994
University of Chicago,2008
University of Florida,2001
University of Kentucky,1998
University of Manitoba ,2008
University of Massachusetts Lowell,2012
University of Miami,2013
University of Minnesota,2013
University of Nevada Las Vegas,2011
University of New Mexico,2009
University of Oklahoma,2005
University of Pennsylvania,2011
University of Rochester,2024
University of South Florida,2015
University of Tennessee Knoxville,2019
University of Texas San Antonio,1997
University of Texas MD Anderson Cancer Center UT Health Houston,2013
University of Texas Southwestern,2021
University of Toledo,2009
University of Toronto,2023
University of Victoria,2009
University of Wisconsin,1988
University of Wollongong,2020
Vanderbilt University,2003
Virginia Commonwealth University,2010
Wake Forest University,2023
Washington University in St Louis,2021
Wayne State University,1988
Western University,2010
