Institution,Initial Accreditation
Advanced Medical Physics Inc,2025
AdventHealth Orlando,2024
Allegheny Health Network,2021
Atrium Health Wake Forest Baptist,2023
Augusta University,2016
Banner MD Anderson Cancer Center,2017
Baylor College of Medicine,2024
Baylor Scott White,2009
BC Cancer,2011
Beaumont University Hospital Corewell Health,2017
CancerCare Manitoba,2009
Cancer Centre of Southeastern Ontario,2014
 CARTI Central Arkansas Radiation Therapy Institute,2011
Cedars Sinai Medical Center,2022
City of Hope Comprehensive Cancer Center,2023
Cleveland Clinic,2012
Colorado Associates in Medical Physics CAMP ,2024
Covenant Health Therapy,2022
Cross Cancer Institute University of Alberta,2005
Dartmouth Hitchcock Medical Center,2024
Duke University Medical Center,2009
East Carolina University,2019
Emory University School of Medicine,2012
Fox Chase Cancer Center,2013
Geisinger Health System,2010
Genesis Healthcare Partners and Affiliate,2016
Hackensack University Medical Center,2021
Halifax Radiation Oncology Physics Residency Program ,2014
Harvard Medical Physics Residency Program,2011
Henry Ford Health System,2011
Houston Methodist Hospital,2017
Indiana University,2014
INOVA Health System,2024
Ireland Radiation Oncology Physics,2009
Johns Hopkins University,2011
Juravinski Cancer Center,2018
Karmanos Cancer Center Gershenson Radiation Oncology Center,2010
Keck School of Medicine of USC,2024
Loma Linda University Medical Center,2018
London Regional Cancer Program,2006
Loyola University Medical Center,2017
Mary Bird Perkins Cancer Center,2012
Lykes Radiation Pavilion Baycare Morton Plant Hospital,2024
Mayo Clinic AZ ,2013
Mayo Clinic FL ,2020
Mayo Clinic MN ,2003
McGill University,2000
MD Anderson at Cooper,2019
Medical College of Wisconsin,2010
Medical Radiation Physics Inc,2025
Medical University of South Carolina,2011
MedStar Georgetown University Hospital,2021
Memorial Sloan Kettering,2010
Miami Cancer Institute,2024
Michigan Healthcare Professionals Radiation Oncology Institute,2025
Moffitt Cancer Center,2020
Montefiore Medical Center,2010
Mt Sinai Health System,2019
New York University Langone Medical Center,2013
New York Presbyterian Columbia University and Cornell University ,2013
Northern Ontario School of Medicine University,2016
Northwell Health,2014
Northwest Medical Physics Center,2010
Northwestern University Memorial Hospital,2012
Novant Health Cancer Institute,2023
One Physics Missouri Oklahoma,2021
One Physics West Ohio,2021
Oregon Health and Science University,2015
Orlando Health Cancer Institute,2006
Ochsner Health,2025
Piedmont HealthCare,2019
Provision Healthcare and Erlanger Healthcare,2017
Rhode Island Hospital,2014
Rush University Medical Center,2009
Rutgers Cancer Inst of NJ,2010
St Lukes University Health Network,2025
Stanford University,2007
Stony Brook University Medical Center,2009
SUNY Upstate Medical University,2025
Texas Oncology,2014
The Ohio State University,2012
The Ottawa Hospital Cancer Center,2007
The University of Tennessee Medical Center,2025
Thomas Jefferson University Hospital Bodine Center for Cancer Treatment,2008
UPMC Hillman Cancer Center University of Pittsburgh School of Medicine,2016
University Hospitals Case Western Reserve University,2013
University of Alabama at Birmingham,2013
University of Arkansas,2012
University of Arizona,2016
University of Calgary,2005
University of California Davis Cancer Center,2012
University of California Irvine Medical Ctr,2008
University of California Los Angeles,2013
University of California San Diego,2010
University of California at San Francisco,2009
University of Chicago Medical Center,2004
University of Cincinnati,2021
University of Colorado Denver,2013
University of Florida,2000
University of Florida Health Proton Therapy Institute,2018
University of Iowa,2007
University of Kansas Cancer Center,2009
University of Kentucky Medical Center,2011
University of Louisville School of Medicine,2003
University of Maryland,2015
University of Miami,2014
University of Michigan,2009
University of Minnesota Medical School,2000
University of Nebraska Medical Center,2008
University of North Carolina at Chapel Hill,2012
University of Oklahoma,2012
University of Pennsylvania,2009
University of Rochester,2022
University of Texas HSC at San Antonio,2010
University of Texas MD Anderson Cancer Center,2006
University of Texas Southwestern Medical Center,2009
University of Toledo,2017
University of Toronto,2008
University of Utah,2018
University of Virginia,2010
University of Washington,2014
University of Wisconsin,2004
US Oncology,2024
Vanderbilt University Medical Center,2021
Varian AOS Medical Physics Residency,2013
Vassar Brothers Medical Center,2012
Virginia Commonwealth University,2007
Washington University School of Medicine,1997
Waterloo Regional Health Network,2017
Weill Cornell Medicine,2020
World Wide Medical Physics ,2017
Yale New Haven Hospital Yale Medical School,2014
Allegheny Health Network,2021
Astarita Associates Inc,2018
Boston Childrens Hospital and Harvard Medical School ,2018
Cleveland Clinic,2017
Columbia University,2013
Corewell Health William Beaumont Hospital,2026
Corwin Health Physics Inc,2017
Cross Cancer Institute University of Alberta,2005
Emory University ,2014
Duke University Medical Center,2016
Henry Ford Health Henry Ford Hospital,2009
Indiana University School of Medicine,2017
Mayo Clinic Arizona,2024
Mayo Clinic MN ,2010
Medical College of Wisconsin,2017
Medical Radiation Physics Inc,2018
Medical Physics Consultants Inc,2025
Medical University of South Carolina,2022
Memorial Sloan Kettering,2016
Naval Medical Center Portsmouth,2018
One Physics Texas ,2018
Oregon Health Science University,2021
Petrone Associates,2020
PMIO,2021
Southern California Permanente Medical Group,2020
Stony Brook University Medical Center ,2009
The Ohio State University,2019
University Hospitals Cleveland Medical Center,2020
University of Alabama at Birmingham,2016
University of Chicago,2014
University of Colorado,2025
University of Florida College of Medicine,2013
University of Kentucky College of Medicine,2023
University of New Mexico,2018
University of Oklahoma Health Science Center,2016
University of Pennsylvania,2021
University of Pittsburgh,2024
University of Texas McGovern Medical School,2017
University of Texas M D Anderson Cancer Center,2002
University of Texas Southwestern Medical Center,2022
University of Virginia,2025
University of Washington,2022
University of Wisconsin,2017
Upstate Medical Physics,2010
West Physics,2013
Yale School of Medicine Yale New Haven Hospital,2020
